LINKID,MASTER_RTE_NM,FromNode_Norm,ToNode_Norm,SegMid_M,Signal_M,Delta_M,Flow_Role,AADT_GIS
010360,,,,218.57539565199772,182.66079716437395,35.91459848762378,Unknown,4049.0
010360,,,,412.6609202560289,465.26643946812897,-52.60551921210009,Unknown,4049.0
010367,,,,1973.1250586856836,6.954144840504114,1966.1709138451795,Unknown,10236.0
010367,,,,2521.8757118722842,6.954144840504114,2514.92156703178,Unknown,10236.0
010368,,,,24.695632645468947,55.36014724151835,-30.6645145960494,Unknown,16673.0
010368,,,,36.95548396480981,55.36014724151835,-18.40466327670854,Unknown,16673.0
010368,,,,37.79575524104521,55.36014724151835,-17.56439200047314,Unknown,16673.0
010368,,,,57.98129946847071,55.36014724151835,2.6211522269523613,AtSignal,16673.0
010368,,,,84.16577253530814,131.01511557764118,-46.84934304233305,Unknown,16673.0
010368,,,,84.81710429517486,131.01511557764118,-46.198011282466325,Unknown,16673.0
010368,,,,91.21660879363412,131.01511557764118,-39.79850678400706,Unknown,16673.0
010368,,,,92.0682817220006,131.01511557764118,-38.94683385564058,Unknown,16673.0
010368,,,,215.04730502956173,131.01511557764118,84.03218945192054,Unknown,16673.0
010368,,,,224.7489958474199,55.36014724151835,169.38884860590156,Unknown,16673.0
010368,,,,322.17706779152815,131.01511557764118,191.16195221388696,Unknown,16673.0
010368,,,,324.14480801459575,131.01511557764118,193.12969243695457,Unknown,16673.0
010371,,,,46.70245302295918,182.66079716437395,-135.95834414141476,Unknown,15565.0
010371,,,,46.99005111249827,182.66079716437395,-135.67074605187568,Unknown,15565.0
010371,,,,59.37580540401196,465.26643946812897,-405.890634064117,Unknown,15565.0
010371,,,,59.41566005937824,465.26643946812897,-405.8507794087507,Unknown,15565.0
010371,,,,130.0619411743238,182.66079716437395,-52.59885599005014,Unknown,15565.0
010371,,,,130.93475781785833,182.66079716437395,-51.72603934651562,Unknown,15565.0
010371,,,,216.0982332062342,182.66079716437395,33.43743604186025,Unknown,15565.0
010371,,,,270.4506272403335,465.26643946812897,-194.81581222779545,Unknown,15565.0
010371,,,,270.9532507077568,465.26643946812897,-194.31318876037216,Unknown,15565.0
010371,,,,406.01027543440483,465.26643946812897,-59.25616403372413,Unknown,15565.0
010371,,,,763.8352664958709,1166.0488303879972,-402.21356389212633,Unknown,15565.0
010371,,,,772.5740103708918,1166.0488303879972,-393.47482001710546,Unknown,15565.0
010371,,,,1165.9093285305696,1166.0488303879972,-0.13950185742760368,AtSignal,15565.0
010371,,,,1173.168345707348,1166.0488303879972,7.1195153193507394,AtSignal,15565.0
010371,,,,1556.9570659655167,1555.9482029011183,1.0088630643983834,AtSignal,15565.0
010371,,,,1562.4308868898604,1555.9482029011183,6.48268398874211,AtSignal,15565.0
010371,,,,1797.010727521822,1797.0200058870191,-0.009278365197133098,AtSignal,15565.0
010371,,,,1797.3706245436733,1797.0200058870191,0.35061865665420555,AtSignal,15565.0
010371,,,,2093.8720697199374,1555.9482029011183,537.9238668188191,Unknown,15565.0
010371,,,,2094.2879612903184,1555.9482029011183,538.3397583892001,Unknown,15565.0
010371,,,,2199.7362876195225,1797.0200058870191,402.7162817325034,Unknown,15565.0
010371,,,,2202.251238933171,1797.0200058870191,405.23123304615183,Unknown,15565.0
010386,,,,32.79686452604732,1214.4558856496049,-1181.6590211235575,Unknown,16015.0
010386,,,,35.192005994823376,1214.4558856496049,-1179.2638796547815,Unknown,16015.0
010386,,,,291.79249302825383,1214.4558856496049,-922.663392621351,Unknown,16015.0
010386,,,,296.33917986706757,1214.4558856496049,-918.1167057825373,Unknown,16015.0
010386,,,,428.8864175788172,1214.4558856496049,-785.5694680707877,Unknown,16015.0
