model_name,term,covariance_method,standard_error,p_value
S3_access_interaction_speed_simplified,"C(signal_relative_direction_model, Treatment(reference='downstream'))[T.upstream]",poisson_robust_hc0,0.04960906237372641,0.844022299259634
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.<30 mph]",poisson_robust_hc0,0.08112660670820696,3.1747368885183995e-05
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.40-49 mph]",poisson_robust_hc0,0.06309980660257497,0.38478445685157636
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.50+ mph]",poisson_robust_hc0,0.10002529949586064,0.04424540798343245
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.missing/review speed]",poisson_robust_hc0,0.12688678343113904,0.1839908474034816
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",poisson_robust_hc0,0.19454321835078398,0.8434199143860067
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.1-3]",poisson_robust_hc0,0.145863116489962,0.6473025001059084
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.3-6]",poisson_robust_hc0,0.19851874797076854,0.011040620862743409
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.6+]",poisson_robust_hc0,0.36848284821680166,0.01829927616265692
S3_access_interaction_speed_simplified,Intercept,poisson_cluster_reference_signal,0.05946672191643827,0.0
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]",poisson_cluster_reference_signal,0.050646593738699855,3.2164174483166676e-08
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",poisson_cluster_reference_signal,0.10865411904297918,0.37505532749892534
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.1-3]",poisson_cluster_reference_signal,0.11178403363753496,0.016693437082389948
